tier,cell_type,parent_cell_type,markers,subcluster_resolution,description
broad,LECs,,Prox1|Flt4|Ccl21a|Mmrn1|Lyve1|Pecam1,,Lymphatic endothelial cells; Prox1 is the canonical lymphatic transcription factor. Note Lyve1 is also expressed by resident macrophages
broad,VECs,,Cdh5|Pecam1|Egfl7|Plvap|Flt1,,Vascular endothelial cells; Cdh5 and Pecam1 added so endothelium is identified as such. Pecam1 is now shared with LECs and therefore down-weighted automatically
broad,Colonocytes,,Epcam|Krt19|Krt20|Vil1|Muc2,,Colonic epithelial cells (umbrella for all epithelial subtypes including goblet)
broad,Adipocytes,,Adipoq|Plin1|Plin4|Fabp4,,Adipocytes defined by lipid-storage genes; usually only recovered if mesenteric fat was included
sub,Goblet cells,Colonocytes,Muc2|Spink4|Agr2|Retnlb|Fam3d,3,Mucus-secreting goblet cells; first-pass separation from absorptive enterocytes
sub,EECs,Colonocytes,Chga|Chgb|Tph1|Cck|Scgn|Scg5,3,Enteroendocrine cells; rare hormone-secreting epithelial cells
sub,Tuft cells,Colonocytes,Dclk1|Trpm5|Avil|Sh2d6|Plcg2,3,Chemosensory tuft cells with brush-border morphology
sub,DCS,Colonocytes,Reg4|Dll1|Ccl6,3,Deep crypt secretory cells; niche support for stem cells. NOTE Reg4 is shared with goblet cells and Ccl6 is worth verifying against your reference
sub,Abs. colonocytes,Colonocytes,Alpi|Ces2c|Slc26a2|Ceacam1|Aqp8,3,Absorptive colonocytes; mature ion-transport and lipid-handling cells
sub,TA cells,Colonocytes,Mki67|Top2a|Birc5|Pcna|Stmn1,3,Transit-amplifying cells; actively cycling progenitors
sub,Stem cells,Colonocytes,Lgr5|Ascl2|Smoc2|Slc12a2|Prom1,3,"Intestinal stem cells (crypt base columnar). Trimmed to 5 verified CBC markers. Lrig1 REMOVED - it marks a largely non-overlapping quiescent population in colon (Powell 2012, Cell), so mixing it with Lgr5 dilutes the signature. Olfm4 excluded - not expressed in mouse colon (Schuijers 2014)"
sub,ILC1,T cells,Tbx21|Il12rb2|Ifng,2,"ILC1; Tbx21-positive innate lymphoid cells, IFNg-producing, Eomes-negative and Prf1-negative (this is what separates them from NK)"
sub,ILC2,T cells,Gata3|Il1rl1|Klrg1|Areg,2,"ILC2; Gata3-high innate lymphoid cells, type 2 cytokine producers"
sub,ILC3,T cells,Rorc|Il22|Ncr1,2,"ILC3; Rorc-positive innate lymphoid cells, IL-22-producing, NCR-positive and NCR-negative subsets"
sub,NK cells,T cells,Ncr1|Klrb1c|Eomes|Gzma|Prf1|Klrb1b,2,"Natural killer cells; Eomes added as the standard discriminator from ILC1, plus cytotoxic effectors Gzma and Prf1"
sub,Mast cells,T cells,Ms4a2|Cpa3|Kit|Mcpt4,2,"Mast cells; often co-cluster with lymphoid cells. Duplicated from the broad tier on purpose - the label is identical either way, so this is a safety net rather than a conflict"
sub,CD4+ T cells,T cells,Cd4|Cd40lg|Il7r|Cd3e|Cd3d,2,Helper T cells; Cd40lg and Il7r added because Cd4/Cd3 alone cannot distinguish this from the pan-T definition
sub,Tregs,T cells,Foxp3|Il2ra|Ikzf2|Ctla4,2,Regulatory T cells; Foxp3 is the master transcription factor
sub,CD8+ T cells,T cells,Cd8a|Cd8b1|Sell,2,Cytotoxic T cells; CD8-expressing effector and memory T cells
sub,Cyc. T cells,T cells,Mki67|Top2a,2,Cycling (proliferating) T cells
sub,gd T cells,T cells,Trdc|Trgc1,2,Gamma-delta T cells; innate-like T cell subset
sub,pDCs,Macrophages,Siglech|Bst2|Ly6d|Irf7|Tcf4,2,"Plasmacytoid DCs; Siglech and Bst2 positive, Itgax and Cd68 negative"
sub,cDC1,Macrophages,Clec9a|Xcr1|Itgae|Itgax|Flt3,2,cDC1; cross-presenting dendritic cells. The conflicting broad-tier cDCs row was removed so these cells reach this sub tier
sub,cDC2,Macrophages,Cd209a|Clec10a|Irf4|Sirpa|Itgax|Flt3,2,"cDC2; Cd209a, Clec10a (CD301a), Sirpa and Irf4 are verified mouse cDC2 markers. Clec4g and Siglecg were replaced NOT because they are absent from DCs (both are reported in DCs) but because both are non-specific in this panel - Clec4g also marks endothelium and Siglecg also marks B cells"
sub,mRegDCs,Macrophages,Ccr7|Fscn1|Cd274|Pdcd1lg2|Il4i1|Ccl22,2,Mature regulatory DCs; immunostimulatory and immunosuppressive programs co-expressed
sub,Monocytes,Macrophages,Cd14|Ccr2|Ly6c2|Fcgr3|Plac8,2,"Monocytes; Ly6c2-high, Adgre1 and Timd4 negative"
sub,M0 macrophages,Macrophages,Cd68|Csf1r|Adgre1|Cx3cr1|Timd4,2,Resting tissue-resident macrophages; no polarization markers
sub,M1 macrophages,Macrophages,Il1b|Tnf|Cxcl9|Cxcl10|Il6|Irf5|Nos2,2,Pro-inflammatory program. NOTE M1/M2 is an in-vitro paradigm that maps imperfectly onto tissue macrophages; consider reporting these as programs rather than discrete identities
sub,M2 macrophages,Macrophages,Mrc1|Cd163|Arg1|Chil3|Retnla|C1qa|C1qb|C1qc,2,Anti-inflammatory program; see the M1 note on the M1/M2 paradigm
sub,Cyc. macrophages,Macrophages,Mki67|Top2a,2,Proliferating macrophages
sub,Neutrophils,Macrophages,S100a8|S100a9|Csf3r|Cxcr2|Ly6g,2,"Neutrophils. WARNING neutrophils have low mRNA and high RNase content; published protocols use gene thresholds as low as 50 to retain them, whereas Script 01 defaults to POST_MIN_GENES=500 and POST_MAX_MT=5. Most neutrophils will be filtered out unless you relax those"
